[VAMS][2016-11-01 11:12:30,011] DEBUG | Adding [systemProperties] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:34:38,613] DEBUG | Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment] | [main] org.springframework.core.env.AbstractEnvironment.<init>(127)
[VAMS][2016-11-01 11:34:38,622] INFO | Loading XML bean definitions from class path resource [src/dubbo-provider.xml] | [main] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317)
[VAMS][2016-11-01 11:35:33,028] DEBUG | Adding [systemProperties] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:35:33,031] DEBUG | Adding [systemEnvironment] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:35:33,032] DEBUG | Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment] | [main] org.springframework.core.env.AbstractEnvironment.<init>(127)
[VAMS][2016-11-01 11:35:33,035] INFO | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@2aae9190: startup date [Tue Nov 01 11:35:33 CST 2016]; root of context hierarchy | [main] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(578)
[VAMS][2016-11-01 11:35:33,068] DEBUG | Adding [systemProperties] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:35:33,069] DEBUG | Adding [systemEnvironment] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:35:33,069] DEBUG | Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment] | [main] org.springframework.core.env.AbstractEnvironment.<init>(127)
[VAMS][2016-11-01 11:35:33,083] INFO | Loading XML bean definitions from class path resource [../src/dubbo-provider.xml] | [main] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317)
[VAMS][2016-11-01 11:36:39,939] DEBUG | Adding [systemProperties] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:36:39,943] DEBUG | Adding [systemEnvironment] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:36:39,944] DEBUG | Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment] | [main] org.springframework.core.env.AbstractEnvironment.<init>(127)
[VAMS][2016-11-01 11:36:39,950] INFO | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@2aae9190: startup date [Tue Nov 01 11:36:39 CST 2016]; root of context hierarchy | [main] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(578)
[VAMS][2016-11-01 11:36:40,001] DEBUG | Adding [systemProperties] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:36:40,002] DEBUG | Adding [systemEnvironment] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:36:40,002] DEBUG | Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment] | [main] org.springframework.core.env.AbstractEnvironment.<init>(127)
[VAMS][2016-11-01 11:36:40,014] INFO | Loading XML bean definitions from class path resource [dubbo-provider.xml] | [main] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317)
[VAMS][2016-11-01 11:36:56,538] DEBUG | Adding [systemProperties] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:36:56,542] DEBUG | Adding [systemEnvironment] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:36:56,543] DEBUG | Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment] | [main] org.springframework.core.env.AbstractEnvironment.<init>(127)
[VAMS][2016-11-01 11:36:56,547] INFO | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@2aae9190: startup date [Tue Nov 01 11:36:56 CST 2016]; root of context hierarchy | [main] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(578)
[VAMS][2016-11-01 11:36:56,586] DEBUG | Adding [systemProperties] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:36:56,587] DEBUG | Adding [systemEnvironment] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:36:56,587] DEBUG | Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment] | [main] org.springframework.core.env.AbstractEnvironment.<init>(127)
[VAMS][2016-11-01 11:36:56,597] INFO | Loading XML bean definitions from class path resource [dubbo-provider.xml] | [main] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317)
[VAMS][2016-11-01 11:37:39,326] DEBUG | Adding [systemProperties] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:37:39,330] DEBUG | Adding [systemEnvironment] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:37:39,331] DEBUG | Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment] | [main] org.springframework.core.env.AbstractEnvironment.<init>(127)
[VAMS][2016-11-01 11:37:39,335] INFO | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@2aae9190: startup date [Tue Nov 01 11:37:39 CST 2016]; root of context hierarchy | [main] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(578)
[VAMS][2016-11-01 11:37:39,375] DEBUG | Adding [systemProperties] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:37:39,376] DEBUG | Adding [systemEnvironment] PropertySource with lowest search precedence | [main] org.springframework.core.env.MutablePropertySources.addLast(109)
[VAMS][2016-11-01 11:37:39,376] DEBUG | Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment] | [main] org.springframework.core.env.AbstractEnvironment.<init>(127)
[VAMS][2016-11-01 11:37:39,388] INFO | Loading XML bean definitions from class path resource [dubbo-provider.xml] | [main] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317)
[VAMS][2016-11-01 11:37:39,415] DEBUG | Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl] | [main] org.springframework.beans.factory.xml.DefaultDocumentLoader.loadDocument(73)
[VAMS][2016-11-01 11:37:39,513] DEBUG | Loading schema mappings from [META-INF/spring.schemas] | [main] org.springframework.beans.factory.xml.PluggableSchemaResolver.getSchemaMappings(141)
